"filename", "language", "Dart", "comment", "blank", "total"
"c:\Vera\coolapp\lib\globals.dart", "Dart", 56, 0, 3, 59
"c:\Vera\coolapp\lib\main.dart", "Dart", 68, 11, 8, 87
"c:\Vera\coolapp\lib\services\auth_service.dart", "Dart", 278, 2, 42, 322
"c:\Vera\coolapp\lib\views\pages\about_this_app\about_this_app_page.dart", "Dart", 9, 0, 3, 12
"c:\Vera\coolapp\lib\views\pages\help_page\help_page.dart", "Dart", 9, 1, 3, 13
"c:\Vera\coolapp\lib\views\pages\home\home_page.dart", "Dart", 867, 24, 32, 923
"c:\Vera\coolapp\lib\views\pages\profile_page\profile_page.dart", "Dart", 516, 3, 33, 552
"c:\Vera\coolapp\lib\views\pages\videos\free_videos.dart", "Dart", 8, 0, 3, 11
"c:\Vera\coolapp\lib\views\pages\videos\locked_page.dart", "Dart", 64, 2, 5, 71
"c:\Vera\coolapp\lib\views\pages\videos\not_logged_in.dart", "Dart", 76, 3, 5, 84
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\ap_physics_1.dart", "Dart", 226, 2, 6, 234
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\ap_physics_2.dart", "Dart", 217, 2, 7, 226
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\grade_11_physics.dart", "Dart", 214, 2, 7, 223
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\grade_12_physics.dart", "Dart", 210, 2, 7, 219
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\ib_physics_hl.dart", "Dart", 224, 2, 7, 233
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\dynamics.dart", "Dart", 213, 1, 9, 223
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\electricity_and_magnetism.dart", "Dart", 212, 2, 9, 223
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\intro_to_physics.dart", "Dart", 183, 2, 7, 192
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\kinematics.dart", "Dart", 206, 2, 7, 215
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\momentum_and_collisions.dart", "Dart", 207, 2, 7, 216
"c:\Vera\coolapp\lib\views\pages\videos\video_pages\courses_page.dart", "Dart", 344, 1, 14, 359
"c:\Vera\coolapp\lib\views\pages\videos\video_pages\topics_page.dart", "Dart", 344, 1, 15, 360
"c:\Vera\coolapp\lib\views\pages\videos\video_player.dart", "Dart", 226, 12, 22, 260
"c:\Vera\coolapp\lib\views\widget_tree.dart", "Dart", 131, 7, 10, 148
"c:\Vera\coolapp\lib\widgets\timed_app_bar.dart", "Dart", 48, 0, 8, 56
"Total", "-", 5156, 86, 279, 5521
